id,booth,exhibitor,sponsorName,titleCount,titles,score,confidence,ok
"297","3F-B12","京都デザイン&テクノロジー専門学校","インティ・クリエイツ","4","<big id=""GVFSP""><ruby>蒼き雷霆<rt>アームドブルー</rt></ruby>ガンヴォルト トライアングル エディション Nintendo Switch 2 Edition</big> / <big id=""ADC"">白き鋼鉄の<ruby>X<rt>イクス</rt></ruby> 1+2 デュアルコレクション</big> / <big id=""BKR"">ぼくらのキングダム 時食む果実といにしえの魔物</big> / <big id=""MJG"">魔女ガミ－The Witch of Luludidea－</big>","0.19","none",""
"298","3F-B13","HYPER REAL","HYPER REAL","3","SAEKO: Giantess Dating Sim / DIGITAL EXORCIST（デジタルエクソシスト） / Dome-King Cabbage（ドームキング・キャベツ）","1.00","high","OK"
"299","3F-B14","HARRISONWORLD CO.,LTD.","CANARY ISLANDS GAMES","9","Archangel: Demon Rush / Arico: Tales From the Abyss / Auditum / Master of Cladia / Microbian / OVER SAND / PlayCan / Project Node / Unicorn Wars","0.28","none",""
"300","3F-B15","京都コンピュータ学院","KOCCA（韓国コンテンツ振興院）","10","Archetype Blue(アーキタイプ・ブルー） / BLACKOUT: Zero Point / Lone Chef / MODULE:BERSERK(モジュール・バーサーク) / MONOWAVE / Project Revenant(プロジェクト・レヴェナント) / Staffer Retro: 超能力推理クエスト / THANKS, LIGHT.(サンクス、ライト。) / There is NO PLAN B(ゼア・イズ・ノー・プラン・ビー) / VELASTER(ベラスター)","0.20","none",""
"301","3F-B16","Indie Game Lab Japon","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.59","medium",""
"302","3F-B17","グラビティゲームアライズ","グラビティゲームアライズ","3","はしれへべれけEX / みんなで空気読み。ワールド 韓国Ver. / ガルバテイン：冒険者ギルド事務所","1.00","high","OK"
"303","3F-B18","BeXide","BeXide","4","東方ゆっくりマウンテン / Memory of Memorie : A Chill Story / NAMCO LEGENDARY Mountains / Digital Pinball: Last Gladiators","1.00","high","OK"
"304","3F-B19","面白法人カヤック","イースニッド","1","アイリス・オデッセイ","0.13","none",""
"305","3F-B20","KADOKAWA Game Linkage","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.37","none",""
"306","3F-B21","Phoenixx","株式会社Phoenixx","2","MONOWAVE / GooNECT√2","1.00","high","OK"
"307","3F-B22","Beep Japan","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.22","none",""
"308","3F-B23","lowiro","lowiro","2","In Falsus / Arcaea","1.00","high","OK"
"309","3F-B24","オプテージ","株式会社ジーン","16","買い物（かいもん）マスターとみえ / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト /  / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト","0.20","none",""
"310","3F-B25","HappyPlayer","Aniplex.inc","1","OCTOPinbs","0.36","none",""
"311","3F-B26","Malaysia Digital Economy Corporation (MDEC)","Black Lantern Collective","3","Sucker for Love: Crush Landing / HR: Human Remains / Horripilant","0.27","none",""
"312","3F-B27","Double Fine Productions / Xbox Game Studios","Black Tower Studios","1","Dr. Oops!","0.31","none",""
"313","3F-B28","Soft Source","SUNSOFT","2","Hard Edge - War Zone / ROUTE16R","0.30","none",""
"314","3F-B29","Gocha Gocha Games","Gotcha Gotcha Games","2","RPGツクール新プロジェクト（仮） / ACTION GAME MAKER","0.88","high","OK"
"315","3F-B30","中野亘 × 宮澤卓宏","","0","","0.00","none",""
"316","3F-B31","株式会社ニューラルソフトウェア","株式会社ニュートラルソフトウェア","3","Foo Is Missing / カードバトル RPG (仮) / おやこでまちがいさがし","0.92","high",""
"317","3F-B32","Odencat","INDIENOVA","3","小さな生活：上海編 / メジャーマン / 存在/しないあなた、と私","0.33","none",""
"318","3F-B33","株式会社 灯白社","株式会社灯白社","1","つみみじかん 狂オシイホド愛シテル","1.00","high","OK"
"319","3F-B34","ワンダーランドカザキリ","ワンダーランドカザキリ","3","CASSETTE BOY / BQM BlockQuest Maker Remastered / ダンジョンに捧ぐ墓標","1.00","high","OK"
"320","3F-B35","KIC Games","KIC Games","3","蒐命のラスティル - とこしえの迷宮城 - / 超増税都市 / GrimmKitchen","1.00","high","OK"
"321","3F-B36","ザクザクゲーム","ザクザクゲーム","1","RDの遠隔推理","1.00","high","OK"
"322","3F-B37","THIRD","THIRD","1","RAID OF TITAN","1.00","high","OK"
"323","3F-B38","株式会社アコードセブン","Accord Seven Inc.","2","Marobi～ まろび ～ / Itsuki","1.00","high","OK"
"324","3F-B39","株式会社Nestopi","Nestopi Inc.","1","Chill with You：Lo-Fi Story","1.00","high","OK"
"325","3F-B40","Audiokinetic株式会社","Pikii","1","Ira","0.33","none",""
"326","3F-B41","総合地球環境学研究所 Sustai-N-ableプロジェクト","総合地球環境学研究所 Sustai-N-ableプロジェクト &amp; 株式会社ロフトワーク","1","ゆらぐテラリウム — Nとわたしたちの世界","0.90","high","OK"
"327","3F-B42","株式会社クアドラアニマ","ドリコム","4","TIMEMOON / Quiet Express: Cabin 909 / Beautiful Life Show / Chill Planet","0.14","none",""
"328","3F-B43","lablab","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.20","none",""
"329","3F-BSGJ","BitSummit","株式会社CRAFTS&amp;MEISTER","2","BLOKES on BLOCKS! / SLAPPY","0.38","none",""
"330","3F-GCG","ゲームクリエイター甲子園","インティ・クリエイツ","4","<big id=""GVFSP""><ruby>蒼き雷霆<rt>アームドブルー</rt></ruby>ガンヴォルト トライアングル エディション Nintendo Switch 2 Edition</big> / <big id=""ADC"">白き鋼鉄の<ruby>X<rt>イクス</rt></ruby> 1+2 デュアルコレクション</big> / <big id=""BKR"">ぼくらのキングダム 時食む果実といにしえの魔物</big> / <big id=""MJG"">魔女ガミ－The Witch of Luludidea－</big>","0.25","none",""
"331","1F-E11","株式会社クラウドイリュージョン","ドリコム","4","TIMEMOON / Quiet Express: Cabin 909 / Beautiful Life Show / Chill Planet","0.18","none",""
