id,booth,exhibitor,sponsorName,titleCount,titles,score,confidence,ok
"117","1F-B14","ジー・モード","株式会社ジーン","16","買い物（かいもん）マスターとみえ / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト /  / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト","0.40","none",""
"118","1F-B15","room6 / ヨカゼ","room6","3","UNDERGROUNDED / Thunder of the DemonKing / ショートショートフィクションズ","0.90","high","OK"
"119","1F-B16","Silkroad Studios","Ukiyo Studios","10","We Took That Trip / CRYMELIGHT / HYPERyuki: Snowboard Syndicate / Kidbash: Super Legend / Mina the Hollower / Shovel Knight: Treasure Trove / Rain98 / Sledding Game / Box Knight / VOID DIVER: Escape from the Abyss","0.53","medium",""
"120","1F-B17","ラディアスリー株式会社","ラディアスリー","1","Thousands of Heroes","1.00","high","OK"
"121","1F-B18","株式会社CRAFTS&MEISTER","株式会社CRAFTS&amp;MEISTER","2","BLOKES on BLOCKS! / SLAPPY","0.81","high","OK"
"122","1F-B19","AssetHub Inc.","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.25","none",""
"123","1F-B20","電羊法律事務所","電ファミニコゲーマー","11","UGOMEKU NOTE / Under A Groove / コロコロフレンズ / Re:Connect / クトゥルフ神話カードゲームADV Erase-missing link- / ヴェリタステイルズ：暗黒城の魔女 / 勇者パーティはぜんめつしました。 / Saga &amp; Seeker / 事故物件だよ！うらみちゃん / Pain Pain Go Away! / 多砲塔神教","0.10","none",""
"124","1F-B21","イースニッド","イースニッド","1","アイリス・オデッセイ","1.00","high","OK"
"125","1F-B22","GameMaker","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","0.38","none",""
"126","1F-B23","SuperDuperSecret Co.","Accord Seven Inc.","2","Marobi～ まろび ～ / Itsuki","0.28","none",""
"127","1F-B24","R/GA","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.33","none",""
"128","1F-B25","Zandbox Studio","Black Tower Studios","1","Dr. Oops!","0.47","none",""
"129","1F-B26","トムス・エンタテインメント","フリースタイル","3","オバケイドロ２ / オバケイドロ！ / うんこ探偵","0.17","none",""
"130","1F-B27","Blue Backpack","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.29","none",""
"131","1F-B28","Yellow Hearts","lowiro","2","In Falsus / Arcaea","0.33","none",""
"132","1F-B29","株式会社ジュピター","株式会社ジーン","16","買い物（かいもん）マスターとみえ / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト /  / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト","0.20","none",""
"133","1F-B30","スクウェア・エニックス","イースニッド","1","アイリス・オデッセイ","0.20","none",""
"138","3F-D05","Pokeso","lowiro","2","In Falsus / Arcaea","0.33","none",""
"140","3F-D07","Spellbrush","Graph","5","Aether &amp; Iron / Be My Horde（ビー・マイ・ホード） / Descent Of Lunaris / LOVE ETERNAL（ラブエターナル） / Surfpunk（サーフパンク）","0.20","none",""
"141","3F-D08","SPECTACLE","SKOOTA GAMES","2","ももっとクラッシュ / 太ももうさぎの大撃腿","0.36","none",""
"145","3F-D12","㊥Maruchu","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.29","none",""
"147","3F-D14","Coin Drop Games","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","0.54","medium",""
"149","3F-D16","BONJORY – Creative Studio at Kyoto Institute of Technology","Black Tower Studios","1","Dr. Oops!","0.20","none",""
"150","3F-D17","Nippon Engineering Education College","China indie Game Alliance","9","ルナリウム星の旅 / 異星開拓日記 / スターサンド・アイランド / Ashes of Pantheon / Muse Dash 2 / Sleepover / 審判官シェパード / 超アロイクラッシュ / No Such Place","0.27","none",""
"156","3F-D23","UGONOSTUDIO","Ukiyo Studios","10","We Took That Trip / CRYMELIGHT / HYPERyuki: Snowboard Syndicate / Kidbash: Super Legend / Mina the Hollower / Shovel Knight: Treasure Trove / Rain98 / Sledding Game / Box Knight / VOID DIVER: Escape from the Abyss","0.67","medium",""
"168","3F-D35","IoliteGames","Rice Games Inc","2","Shujinkou / 主人公 / Shujinkou Manga Reader / 主人公マンガリーダー","0.64","medium",""
"172","3F-D39","SLL Team","SKOOTA GAMES","2","ももっとクラッシュ / 太ももうさぎの大撃腿","0.36","none",""
"174","3F-D41","KINGOFSHIBUYA Ltd.","Kakehashi Games","5","ムーミントロール:冬のぬくもり / Algolemeth / Serial World / シリアルワールド / Deep Dish Dungeon / Vikings on Trampolines","0.29","none",""
"177","3F-D44","degoma","INDIENOVA","3","小さな生活：上海編 / メジャーマン / 存在/しないあなた、と私","0.44","none",""
"182","3F-D49","Team「Reverberate」","New Blood Interactive","2","Dungeons of DUSK / Tenebris Somnia","0.32","none",""
"183","3F-D50","AlSH","Aniplex.inc","1","OCTOPinbs","0.29","none",""
"194","3F-D61","373 STUDIO","Ukiyo Studios","10","We Took That Trip / CRYMELIGHT / HYPERyuki: Snowboard Syndicate / Kidbash: Super Legend / Mina the Hollower / Shovel Knight: Treasure Trove / Rain98 / Sledding Game / Box Knight / VOID DIVER: Escape from the Abyss","0.50","medium",""
"207","3F-U04","東京工芸大学ゲーム学科","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.36","none",""
"208","3F-U05","しゅんて","","0","","0.00","none",""
"209","3F-U06","サメ","","0","","0.00","none",""
"210","3F-U07","ニアピンGOプロジェクト","ハピネット","5","モノノケの国 / アーティス インパクト / Apopia: スイート・ナイトメア / Stray / Tokyo Stories","0.17","none",""
"211","3F-U08","愛知工業大学CGメディア研究室","ラディアスリー","1","Thousands of Heroes","0.20","none",""
"212","3F-U09","東京工芸大学ゲーム学科","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.36","none",""
"213","3F-U10","東京工芸大学ゲーム学科","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.36","none",""
"214","3F-U11","東京工芸大学ゲーム学科","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.36","none",""
"215","3F-U12","東京工芸大学ゲーム学科","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.36","none",""
"216","3F-U13","東京工芸大学ゲーム学科","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.36","none",""
"217","3F-U14","ドイノブヒロ","ドリコム","4","TIMEMOON / Quiet Express: Cabin 909 / Beautiful Life Show / Chill Planet","0.17","none",""
"218","3F-U15","E班（Electronics班）","Nestopi Inc.","1","Chill with You：Lo-Fi Story","0.29","none",""
"219","3F-U16","讃岐GameN","KIC Games","3","蒐命のラスティル - とこしえの迷宮城 - / 超増税都市 / GrimmKitchen","0.50","medium",""
