id,booth,title,exhibitor,steamName,steamUrl,score,confidence,ok
"220","3F-U17","チームゲハナシ","チームゲハナシ","","","0.00","none",""
"221","3F-U18","映画の清掃員","映画の清掃員","","","0.00","none",""
"222","3F-U19","ネコマ製作所","ネコマ製作所","","","0.00","none",""
"223","3F-U20","ハードウェアとか研究所","ハードウェアとか研究所","","","0.00","none",""
"224","3F-U21","Interactive Materials Lab (U21)","Interactive Materials Lab","Michi - Expansion Pack (Unlock levels 2-10)","https://store.steampowered.com/app/2420670/","0.24","none",""
"225","3F-U22","Interactive Materials Lab (U22)","Interactive Materials Lab","Underground22","https://store.steampowered.com/app/2385550/","0.23","none",""
"226","3F-U23","愛知工業大学CGメディア研究室・伊藤勇舞","愛知工業大学CGメディア研究室・伊藤勇舞","","","0.00","none",""
"227","3F-U24","シンプルファミリー","シンプルファミリー by Wonderland Kazakiri","","","0.00","none",""
"228","3F-U25","MIYAZAWORKS (U25)","MIYAZAWORKS","Train Simulator: Burlington Northern U25","https://store.steampowered.com/app/2403301/","0.90","high","OK"
"229","3F-U26","UNUSE","UNUSE","Cube XL - Unused Soundtrack","https://store.steampowered.com/app/918410/","0.90","high","OK"
"230","3F-U27","のへもん (U27)","のへもん","U27RA R3Z0NANC3","https://store.steampowered.com/app/1413670/","0.90","high","OK"
"231","3F-U28","Tamakotronica (U28)","Tamakotronica","","","0.00","none",""
"232","3F-U29","Wataru Nakano × MIYAZAWORKS","Wataru Nakano × MIYAZAWORKS","","","0.00","none",""
"233","3F-U30","のへもん (U30)","のへもん","Train Simulator: Chessie System U30C Loco Add-On","https://store.steampowered.com/app/376958/","0.90","high","OK"
"234","3F-U31","愛知工業大学CGメディア研究室 (U31)","愛知工業大学CGメディア研究室","","","0.00","none",""
"235","3F-U32","MIYAZAWORKS (U32)","MIYAZAWORKS","","","0.00","none",""
"236","3F-U33","Tamakotronica (U33)","Tamakotronica","Train Simulator: Southern Pacific U33C Loco Add-On","https://store.steampowered.com/app/1560939/","0.90","high","OK"
"237","3F-C01","Skeleton Crew Studio / モリカトロン","Skeleton Crew Studio / モリカトロン","","","0.00","none",""
"238","3F-C02","PYGMY STUDIO","PYGMY STUDIO","","","0.00","none",""
"239","3F-C03","London Games Festival","London Games Festival","","","0.00","none",""
"240","3F-C04","Games Ground","Games Ground","Fantasy Grounds - Black Scroll Games - Tropical Islands (Map Pack)","https://store.steampowered.com/app/561900/","0.17","none",""
"241","3F-C05","Gamirror Games","Gamirror Games","","","0.00","none",""
"242","3F-C06","TAIWAN ACADEMIA INDUSTRY CONSORTIUM","TAIWAN ACADEMIA INDUSTRY CONSORTIUM","","","0.00","none",""
"243","3F-C07","Taipei Game Show","Taipei Game Show","","","0.00","none",""
"244","3F-C08","Day of the Devs","Day of the Devs","","","0.00","none",""
"245","3F-C09","MIX","MIX","KINGDOM HEARTS -HD 1.5+2.5 ReMIX-","https://store.steampowered.com/app/2552430/","0.90","high","OK"
"246","3F-C10","BIC Festival 2026","BIC Festival 2026","","","0.00","none",""
"247","3F-C11","東京ゲームショウ","東京ゲームショウ","","","0.00","none",""
"248","3F-C12","Game Grove X","Game Grove X","","","0.00","none",""
"249","3F-C13","RCGS","RCGS","","","0.00","none",""
"250","3F-C14","ホテル アンテルーム 京都","ホテル アンテルーム 京都","","","0.00","none",""
"251","3F-C15","ZOTAC","ZOTAC","","","0.00","none",""
"252","3F-C16","アスク","アスク","アスクギア リブースト","https://store.steampowered.com/app/3338450/","0.90","high","OK"
"253","3F-C17","アウリン","アウリン","","","0.00","none",""
"254","3F-C18","ウィットワン","ウィットワン","","","0.00","none",""
"255","3F-C19","ブレインストーム","株式会社ブレインストーム","","","0.00","none",""
"256","3F-E01","MIX STREAMING","MIX STREAMING","","","0.00","none",""
"257","3F-E02","G-EIGHT","G-EIGHT","Quar: Battle for Gate 18","https://store.steampowered.com/app/436940/","0.16","none",""
"258","3F-E03","バハムート","バハムート","バハムート:進化","https://store.steampowered.com/app/4600540/","0.90","high","OK"
"259","3F-E04","IGN JAPAN","IGN JAPAN","","","0.00","none",""
"260","3F-A01","Catalan Institute for Cultural Companies","Catalan Institute for Cultural Companies - Catalan Arts","","","0.00","none",""
"261","3F-A02","サードウェーブ / GALLERIA ブース","サードウェーブ / GALLERIA","","","0.00","none",""
"262","3F-A03","Sony Interactive Entertainment ブース","Sony Interactive Entertainment","","","0.00","none",""
"263","3F-A04","任天堂 ブース","任天堂株式会社","","","0.00","none",""
"264","3F-A05","集英社ゲームズ ブース","集英社ゲームズ","","","0.00","none",""
"265","3F-A06","ジーン ブース","ジーン","","","0.00","none",""
"266","3F-A07","WOW ブース","WOW","","","0.00","none",""
"267","3F-A08","ゲラッパ ブース","株式会社ゲラッパ","","","0.00","none",""
"268","3F-A09","Lorebard ブース","Lorebard","","","0.00","none",""
"269","3F-A10","CE-Asia ブース","CE-Asia","","","0.00","none",""
"270","3F-A11","SEGA ブース","セガ","","","0.00","none",""
"271","3F-A12","東急不動産 ブース","東急不動産株式会社","","","0.00","none",""
"272","3F-A13","COREBLAZER ブース","COREBLAZER","","","0.00","none",""
"273","3F-A14","Indie Games Pass ブース","Indie Games Pass (IGP)","","","0.00","none",""
"274","3F-A15","エヌビーゲームズ ブース","エヌビーゲームズ","","","0.00","none",""
"275","3F-A16","ブラックマジックデザイン ブース","ブラックマジックデザイン株式会社","","","0.00","none",""
"276","3F-A17","日本ギガバイト ブース","日本ギガバイト株式会社","","","0.00","none",""
"277","3F-A18","フリースタイル ブース","株式会社フリースタイル","","","0.00","none",""
"278","3F-A19","Rice Games ブース","Rice Games Inc.","","","0.00","none",""
"279","3F-A20","サイバーエージェント ブース","株式会社サイバーエージェント","","","0.00","none",""
"280","3F-A21","PixAI ブース","PixAI","","","0.00","none",""
"281","3F-A22","大阪電気通信大学 ブース","大阪電気通信大学","","","0.00","none",""
"282","3F-A23","遊び創り研究センター ブース","遊び創り研究センター","","","0.00","none",""
